,Dataset,Interestingness,HPO,Method,Score,Hyperparams,Duration
0,square4,naive_avg,SMAC BB,FIXED,-0.0436971997638649,"Configuration(values={
  'HDBSCAN_0_min_cluster_size': 2,
  'HDBSCAN_1_min_cluster_size': 3,
  'HDBSCAN_2_min_cluster_size': 28,
  'HDBSCAN_3_min_cluster_size': 17,
  'HDBSCAN_4_min_cluster_size': 30,
  'KMeans_0_n_clusters': 30,
  'KMeans_1_n_clusters': 30,
  'KMeans_2_n_clusters': 2,
  'KMeans_3_n_clusters': 30,
  'KMeans_4_n_clusters': 13,
  'MeanShift_0_bandwidth': 0.1002757313411,
  'MeanShift_1_bandwidth': 49.9658473773297,
  'MeanShift_2_bandwidth': 37.8367114013544,
  'MeanShift_3_bandwidth': 0.1008778682465,
  'MeanShift_4_bandwidth': 0.2923903575312,
})",247.0019319057465
1,square4,naive_avg,SMAC BB,BINARY,0.013359341061081,"Configuration(values={
  'HDBSCAN_0': np.False_,
  'HDBSCAN_1': np.False_,
  'HDBSCAN_2': np.True_,
  'HDBSCAN_3': np.False_,
  'HDBSCAN_4': np.True_,
  'KMeans_0': np.False_,
  'KMeans_1': np.False_,
  'KMeans_2': np.True_,
  'KMeans_3': np.False_,
  'KMeans_4': np.False_,
  'MeanShift_0': np.True_,
  'MeanShift_1': np.True_,
  'MeanShift_2': np.True_,
  'MeanShift_3': np.False_,
  'MeanShift_4': np.False_,
  'HDBSCAN_2_min_cluster_size': 21,
  'HDBSCAN_4_min_cluster_size': 27,
  'KMeans_2_n_clusters': 2,
  'MeanShift_0_bandwidth': 49.9827362663395,
  'MeanShift_1_bandwidth': 0.1754408030681,
  'MeanShift_2_bandwidth': 0.1000457397507,
})",164.30892300605774
2,square4,naive_avg,SMAC BB,ALG_NUMBER,0.2039852139697021,"Configuration(values={
  'HDBSCAN': 4,
  'KMeans': 1,
  'MeanShift': 0,
  'HDBSCAN_0_min_cluster_size': 3,
  'HDBSCAN_1_min_cluster_size': 8,
  'HDBSCAN_2_min_cluster_size': 1,
  'HDBSCAN_3_min_cluster_size': 29,
  'KMeans_0_n_clusters': 27,
})",143.2227921485901
0,square4,naive_avg,SMAC AC,FIXED,-0.1610179880058195,"Configuration(values={
  'HDBSCAN_0_min_cluster_size': 28,
  'HDBSCAN_1_min_cluster_size': 3,
  'HDBSCAN_2_min_cluster_size': 20,
  'HDBSCAN_3_min_cluster_size': 2,
  'HDBSCAN_4_min_cluster_size': 9,
  'KMeans_0_n_clusters': 9,
  'KMeans_1_n_clusters': 30,
  'KMeans_2_n_clusters': 20,
  'KMeans_3_n_clusters': 30,
  'KMeans_4_n_clusters': 19,
  'MeanShift_0_bandwidth': 4.1957526938901,
  'MeanShift_1_bandwidth': 4.3855478173778,
  'MeanShift_2_bandwidth': 20.8847275636114,
  'MeanShift_3_bandwidth': 3.7141380883538,
  'MeanShift_4_bandwidth': 36.5720333560142,
})",153.33726358413696
1,square4,naive_avg,SMAC AC,BINARY,-0.1968048134717576,"Configuration(values={
  'HDBSCAN_0': np.False_,
  'HDBSCAN_1': np.True_,
  'HDBSCAN_2': np.True_,
  'HDBSCAN_3': np.True_,
  'HDBSCAN_4': np.True_,
  'KMeans_0': np.False_,
  'KMeans_1': np.False_,
  'KMeans_2': np.True_,
  'KMeans_3': np.True_,
  'KMeans_4': np.False_,
  'MeanShift_0': np.True_,
  'MeanShift_1': np.False_,
  'MeanShift_2': np.True_,
  'MeanShift_3': np.False_,
  'MeanShift_4': np.True_,
  'HDBSCAN_1_min_cluster_size': 25,
  'HDBSCAN_2_min_cluster_size': 4,
  'HDBSCAN_3_min_cluster_size': 9,
  'HDBSCAN_4_min_cluster_size': 7,
  'KMeans_2_n_clusters': 15,
  'KMeans_3_n_clusters': 25,
  'MeanShift_0_bandwidth': 8.6388157457601,
  'MeanShift_2_bandwidth': 35.2392253648079,
  'MeanShift_4_bandwidth': 12.660334488118,
})",101.04703783988953
2,square4,naive_avg,SMAC AC,ALG_NUMBER,-0.1581019206117974,"Configuration(values={
  'HDBSCAN': 4,
  'KMeans': 1,
  'MeanShift': 4,
  'HDBSCAN_0_min_cluster_size': 3,
  'HDBSCAN_1_min_cluster_size': 4,
  'HDBSCAN_2_min_cluster_size': 22,
  'HDBSCAN_3_min_cluster_size': 1,
  'KMeans_0_n_clusters': 28,
  'MeanShift_0_bandwidth': 46.9156371637398,
  'MeanShift_1_bandwidth': 17.6444343746075,
  'MeanShift_2_bandwidth': 10.5475415437853,
  'MeanShift_3_bandwidth': 6.8888024170598,
})",112.95260500907898
0,square4,naive_avg,BOHB,FIXED,-0.1387213553814052,"[('HDBSCAN', {'min_cluster_size': 15}), ('HDBSCAN', {'min_cluster_size': 17}), ('HDBSCAN', {'min_cluster_size': 6}), ('HDBSCAN', {'min_cluster_size': 5}), ('HDBSCAN', {'min_cluster_size': 4}), ('KMeans', {'n_clusters': 14}), ('KMeans', {'n_clusters': 3}), ('KMeans', {'n_clusters': 24}), ('KMeans', {'n_clusters': 26}), ('KMeans', {'n_clusters': 23}), ('MeanShift', {'bandwidth': 36.7628362072248}), ('MeanShift', {'bandwidth': 11.237549270011302}), ('MeanShift', {'bandwidth': 48.88578907619991}), ('MeanShift', {'bandwidth': 30.5774957132087}), ('MeanShift', {'bandwidth': 11.016395713596465})]",216.31712698936465
1,square4,naive_avg,BOHB,BINARY,0.0501573647149534,"[('HDBSCAN', {'min_cluster_size': 24}), ('KMeans', {'n_clusters': 11}), ('MeanShift', {'bandwidth': 46.029069468814235}), ('MeanShift', {'bandwidth': 32.46966205680099}), ('MeanShift', {'bandwidth': 12.513394148354447}), ('MeanShift', {'bandwidth': 39.14429704637349})]",131.6329071521759
2,square4,naive_avg,BOHB,ALG_NUMBER,0.1080148597652133,"[('KMeans', {'n_clusters': 10}), ('KMeans', {'n_clusters': 27}), ('KMeans', {'n_clusters': 20}), ('MeanShift', {'bandwidth': 31.747922801328112}), ('MeanShift', {'bandwidth': 13.747616161012743}), ('MeanShift', {'bandwidth': 36.825372209367195}), ('MeanShift', {'bandwidth': 26.025338867778725}), ('MeanShift', {'bandwidth': 38.79320273559168})]",129.9243869781494
0,square4,naive_avg,Optunity,FIXED,-0.1999648740671411,"[('HDBSCAN', {'min_cluster_size': 26.641441255800636}), ('HDBSCAN', {'min_cluster_size': 24.896896872089208}), ('HDBSCAN', {'min_cluster_size': 2.886924525617898}), ('HDBSCAN', {'min_cluster_size': 26.552697162977477}), ('HDBSCAN', {'min_cluster_size': 2.638629494319938}), ('KMeans', {'n_clusters': 22.315796388074432}), ('KMeans', {'n_clusters': 28.653430221150657}), ('KMeans', {'n_clusters': 16.029119905901663}), ('KMeans', {'n_clusters': 28.994165838066777}), ('KMeans', {'n_clusters': 9.712413509257338}), ('MeanShift', {'bandwidth': 37.13136313891828}), ('MeanShift', {'bandwidth': 38.7388665808307}), ('MeanShift', {'bandwidth': 1.4787683657596373}), ('MeanShift', {'bandwidth': 35.09822224518108}), ('MeanShift', {'bandwidth': 15.78203349394803})]",277.8096294403076
1,square4,naive_avg,Optunity,BINARY,0.0717177243158721,"[('HDBSCAN', {'min_cluster_size': 8.614765624999997}), ('HDBSCAN', {'min_cluster_size': 5.4139230049701315}), ('HDBSCAN', {'min_cluster_size': 22.604224539163596})]",131.35426712036133
2,square4,naive_avg,Optunity,ALG_NUMBER,-0.1500213596568133,"[('HDBSCAN', {'min_cluster_size': 11.358939488905273}), ('HDBSCAN', {'min_cluster_size': 2.758971622465544}), ('HDBSCAN', {'min_cluster_size': 19.906887421297863}), ('HDBSCAN', {'min_cluster_size': 14.834279069001223}), ('HDBSCAN', {'min_cluster_size': 17.041757072648924}), ('KMeans', {'n_clusters': 24.292200470615494}), ('KMeans', {'n_clusters': 29.931775800443063}), ('KMeans', {'n_clusters': 7.689839422591156}), ('KMeans', {'n_clusters': 27.25183449266562}), ('MeanShift', {'bandwidth': 27.19668628541683}), ('MeanShift', {'bandwidth': 26.959382025356096}), ('MeanShift', {'bandwidth': 1.348763237094125})]",74.26294016838074
0,square1,naive_avg,SMAC HPO,FIXED,-0.0970118381538388,"Configuration(values={
  'HDBSCAN_0_min_cluster_size': 10,
  'HDBSCAN_1_min_cluster_size': 3,
  'HDBSCAN_2_min_cluster_size': 24,
  'HDBSCAN_3_min_cluster_size': 13,
  'HDBSCAN_4_min_cluster_size': 29,
  'KMeans_0_n_clusters': 2,
  'KMeans_1_n_clusters': 14,
  'KMeans_2_n_clusters': 20,
  'KMeans_3_n_clusters': 30,
  'KMeans_4_n_clusters': 29,
  'MeanShift_0_bandwidth': 38.4113697628572,
  'MeanShift_1_bandwidth': 0.7668242962526,
  'MeanShift_2_bandwidth': 44.2363648332121,
  'MeanShift_3_bandwidth': 48.8684776680341,
  'MeanShift_4_bandwidth': 1.5367017980476,
})",220.8610315322876
1,square1,naive_avg,SMAC HPO,BINARY,0.1613313089899733,"Configuration(values={
  'HDBSCAN_0': np.True_,
  'HDBSCAN_1': np.True_,
  'HDBSCAN_2': np.False_,
  'HDBSCAN_3': np.False_,
  'HDBSCAN_4': np.False_,
  'KMeans_0': np.False_,
  'KMeans_1': np.True_,
  'KMeans_2': np.True_,
  'KMeans_3': np.False_,
  'KMeans_4': np.False_,
  'MeanShift_0': np.False_,
  'MeanShift_1': np.False_,
  'MeanShift_2': np.True_,
  'MeanShift_3': np.False_,
  'MeanShift_4': np.False_,
  'HDBSCAN_0_min_cluster_size': 10,
  'HDBSCAN_1_min_cluster_size': 3,
  'KMeans_1_n_clusters': 2,
  'KMeans_2_n_clusters': 28,
  'MeanShift_2_bandwidth': 2.1817909657955,
})",144.48736238479614
2,square1,naive_avg,SMAC HPO,ALG_NUMBER,0.3715,"Configuration(values={
  'HDBSCAN': 1,
  'KMeans': 0,
  'MeanShift': 0,
  'HDBSCAN_0_min_cluster_size': 3,
})",120.8850736618042
0,square1,naive_avg,SMAC BB,FIXED,-0.0778969238090606,"Configuration(values={
  'HDBSCAN_0_min_cluster_size': 3,
  'HDBSCAN_1_min_cluster_size': 28,
  'HDBSCAN_2_min_cluster_size': 26,
  'HDBSCAN_3_min_cluster_size': 14,
  'HDBSCAN_4_min_cluster_size': 26,
  'KMeans_0_n_clusters': 7,
  'KMeans_1_n_clusters': 6,
  'KMeans_2_n_clusters': 25,
  'KMeans_3_n_clusters': 23,
  'KMeans_4_n_clusters': 30,
  'MeanShift_0_bandwidth': 37.8121703527411,
  'MeanShift_1_bandwidth': 25.3950282207172,
  'MeanShift_2_bandwidth': 2.5596780239342,
  'MeanShift_3_bandwidth': 0.1593777325734,
  'MeanShift_4_bandwidth': 3.3198313049614,
})",251.1422519683838
1,square1,naive_avg,SMAC BB,BINARY,0.051963662094243,"Configuration(values={
  'HDBSCAN_0': np.True_,
  'HDBSCAN_1': np.False_,
  'HDBSCAN_2': np.False_,
  'HDBSCAN_3': np.True_,
  'HDBSCAN_4': np.False_,
  'KMeans_0': np.False_,
  'KMeans_1': np.False_,
  'KMeans_2': np.False_,
  'KMeans_3': np.False_,
  'KMeans_4': np.False_,
  'MeanShift_0': np.False_,
  'MeanShift_1': np.False_,
  'MeanShift_2': np.True_,
  'MeanShift_3': np.False_,
  'MeanShift_4': np.False_,
  'HDBSCAN_0_min_cluster_size': 15,
  'HDBSCAN_3_min_cluster_size': 12,
  'MeanShift_2_bandwidth': 27.759297805652,
})",150.6251938343048
2,square1,naive_avg,SMAC BB,ALG_NUMBER,-0.0188497708157772,"Configuration(values={
  'HDBSCAN': 4,
  'KMeans': 1,
  'MeanShift': 3,
  'HDBSCAN_0_min_cluster_size': 19,
  'HDBSCAN_1_min_cluster_size': 28,
  'HDBSCAN_2_min_cluster_size': 25,
  'HDBSCAN_3_min_cluster_size': 11,
  'KMeans_0_n_clusters': 30,
  'MeanShift_0_bandwidth': 9.9536623091578,
  'MeanShift_1_bandwidth': 29.5545600039023,
  'MeanShift_2_bandwidth': 2.9202337005914,
})",174.28635501861572
0,square1,naive_avg,SMAC AC,FIXED,-0.113159570168988,"Configuration(values={
  'HDBSCAN_0_min_cluster_size': 18,
  'HDBSCAN_1_min_cluster_size': 24,
  'HDBSCAN_2_min_cluster_size': 23,
  'HDBSCAN_3_min_cluster_size': 24,
  'HDBSCAN_4_min_cluster_size': 30,
  'KMeans_0_n_clusters': 2,
  'KMeans_1_n_clusters': 2,
  'KMeans_2_n_clusters': 25,
  'KMeans_3_n_clusters': 8,
  'KMeans_4_n_clusters': 12,
  'MeanShift_0_bandwidth': 29.0467261590161,
  'MeanShift_1_bandwidth': 13.7019795972062,
  'MeanShift_2_bandwidth': 9.5282231810483,
  'MeanShift_3_bandwidth': 0.7243331599264,
  'MeanShift_4_bandwidth': 8.7524920456154,
})",164.61385560035706
1,square1,naive_avg,SMAC AC,BINARY,-0.0559648330154103,"Configuration(values={
  'HDBSCAN_0': np.True_,
  'HDBSCAN_1': np.True_,
  'HDBSCAN_2': np.True_,
  'HDBSCAN_3': np.True_,
  'HDBSCAN_4': np.True_,
  'KMeans_0': np.False_,
  'KMeans_1': np.False_,
  'KMeans_2': np.False_,
  'KMeans_3': np.False_,
  'KMeans_4': np.True_,
  'MeanShift_0': np.True_,
  'MeanShift_1': np.False_,
  'MeanShift_2': np.True_,
  'MeanShift_3': np.False_,
  'MeanShift_4': np.False_,
  'HDBSCAN_0_min_cluster_size': 5,
  'HDBSCAN_1_min_cluster_size': 6,
  'HDBSCAN_2_min_cluster_size': 25,
  'HDBSCAN_3_min_cluster_size': 10,
  'HDBSCAN_4_min_cluster_size': 3,
  'KMeans_4_n_clusters': 30,
  'MeanShift_0_bandwidth': 5.035852455615,
  'MeanShift_2_bandwidth': 6.4696773546401,
})",95.49503660202026
2,square1,naive_avg,SMAC AC,ALG_NUMBER,-0.1437548161732078,"Configuration(values={
  'HDBSCAN': 1,
  'KMeans': 2,
  'MeanShift': 0,
  'HDBSCAN_0_min_cluster_size': 28,
  'KMeans_0_n_clusters': 27,
  'KMeans_1_n_clusters': 29,
})",87.60614895820618
0,square1,naive_avg,BOHB,FIXED,-0.1670445214122186,"[('HDBSCAN', {'min_cluster_size': 22}), ('HDBSCAN', {'min_cluster_size': 13}), ('HDBSCAN', {'min_cluster_size': 4}), ('HDBSCAN', {'min_cluster_size': 26}), ('HDBSCAN', {'min_cluster_size': 17}), ('KMeans', {'n_clusters': 16}), ('KMeans', {'n_clusters': 29}), ('KMeans', {'n_clusters': 11}), ('KMeans', {'n_clusters': 9}), ('KMeans', {'n_clusters': 23}), ('MeanShift', {'bandwidth': 43.236309139857646}), ('MeanShift', {'bandwidth': 23.122435198795838}), ('MeanShift', {'bandwidth': 33.119749566845705}), ('MeanShift', {'bandwidth': 18.152352831520712}), ('MeanShift', {'bandwidth': 32.4228077448297})]",223.1911838054657
1,square1,naive_avg,BOHB,BINARY,0.0223935192380037,"[('KMeans', {'n_clusters': 16}), ('KMeans', {'n_clusters': 3}), ('MeanShift', {'bandwidth': 17.828496732037173}), ('MeanShift', {'bandwidth': 16.235631777641515}), ('MeanShift', {'bandwidth': 42.50800742673676})]",137.23781895637512
2,square1,naive_avg,BOHB,ALG_NUMBER,0.1918617174930466,"[('HDBSCAN', {'min_cluster_size': 9}), ('KMeans', {'n_clusters': 6}), ('KMeans', {'n_clusters': 22}), ('KMeans', {'n_clusters': 11}), ('MeanShift', {'bandwidth': 27.325992262776186}), ('MeanShift', {'bandwidth': 49.627085098180316}), ('MeanShift', {'bandwidth': 28.946622090139005}), ('MeanShift', {'bandwidth': 42.79860093204553}), ('MeanShift', {'bandwidth': 34.34040367927698})]",153.29708170890808
0,square1,naive_avg,Optunity,FIXED,-0.0660896526941002,"[('HDBSCAN', {'min_cluster_size': 24.097999177021038}), ('HDBSCAN', {'min_cluster_size': 16.20890479274444}), ('HDBSCAN', {'min_cluster_size': 1.2710824643165455}), ('HDBSCAN', {'min_cluster_size': 19.26350321412994}), ('HDBSCAN', {'min_cluster_size': 26.16349384572524}), ('KMeans', {'n_clusters': 7.559879968238795}), ('KMeans', {'n_clusters': 11.845139627519664}), ('KMeans', {'n_clusters': 29.30018219667978}), ('KMeans', {'n_clusters': 5.506320688254381}), ('KMeans', {'n_clusters': 2.438869130692009}), ('MeanShift', {'bandwidth': 36.33607596032332}), ('MeanShift', {'bandwidth': 1.9801406952019494}), ('MeanShift', {'bandwidth': 10.050485806151054}), ('MeanShift', {'bandwidth': 3.9499366757602608}), ('MeanShift', {'bandwidth': 3.1292280857080175})]",372.175621509552
1,square1,naive_avg,Optunity,BINARY,-0.048884799687815,"[('HDBSCAN', {'min_cluster_size': 24.584383937476563}), ('HDBSCAN', {'min_cluster_size': 14.20236328125}), ('HDBSCAN', {'min_cluster_size': 22.081702333355473}), ('KMeans', {'n_clusters': 16.671510569754453}), ('MeanShift', {'bandwidth': 35.6335772744314})]",148.74895596504211
2,square1,naive_avg,Optunity,ALG_NUMBER,0.574,"[('HDBSCAN', {'min_cluster_size': 10.899068797827784})]",82.8631477355957
0,diamond9,naive_avg,SMAC HPO,FIXED,-0.1618478231311322,"Configuration(values={
  'HDBSCAN_0_min_cluster_size': 28,
  'HDBSCAN_1_min_cluster_size': 24,
  'HDBSCAN_2_min_cluster_size': 1,
  'HDBSCAN_3_min_cluster_size': 10,
  'HDBSCAN_4_min_cluster_size': 1,
  'KMeans_0_n_clusters': 12,
  'KMeans_1_n_clusters': 3,
  'KMeans_2_n_clusters': 9,
  'KMeans_3_n_clusters': 5,
  'KMeans_4_n_clusters': 9,
  'MeanShift_0_bandwidth': 40.8283555204049,
  'MeanShift_1_bandwidth': 0.169004096128,
  'MeanShift_2_bandwidth': 20.6814028382258,
  'MeanShift_3_bandwidth': 14.5229600925485,
  'MeanShift_4_bandwidth': 6.9824453205802,
})",431.2108862400055
1,diamond9,naive_avg,SMAC HPO,BINARY,-0.0228801036847331,"Configuration(values={
  'HDBSCAN_0': np.False_,
  'HDBSCAN_1': np.False_,
  'HDBSCAN_2': np.False_,
  'HDBSCAN_3': np.True_,
  'HDBSCAN_4': np.True_,
  'KMeans_0': np.False_,
  'KMeans_1': np.False_,
  'KMeans_2': np.False_,
  'KMeans_3': np.True_,
  'KMeans_4': np.False_,
  'MeanShift_0': np.False_,
  'MeanShift_1': np.False_,
  'MeanShift_2': np.True_,
  'MeanShift_3': np.False_,
  'MeanShift_4': np.False_,
  'HDBSCAN_3_min_cluster_size': 1,
  'HDBSCAN_4_min_cluster_size': 19,
  'KMeans_3_n_clusters': 13,
  'MeanShift_2_bandwidth': 23.4888487556018,
})",211.1728241443634
2,diamond9,naive_avg,SMAC HPO,ALG_NUMBER,0.0493221263296071,"Configuration(values={
  'HDBSCAN': 5,
  'KMeans': 0,
  'MeanShift': 1,
  'HDBSCAN_0_min_cluster_size': 4,
  'HDBSCAN_1_min_cluster_size': 29,
  'HDBSCAN_2_min_cluster_size': 28,
  'HDBSCAN_3_min_cluster_size': 5,
  'HDBSCAN_4_min_cluster_size': 2,
  'MeanShift_0_bandwidth': 44.2494533387993,
})",205.17069792747492
0,diamond9,naive_avg,SMAC BB,FIXED,-0.1535102237801433,"Configuration(values={
  'HDBSCAN_0_min_cluster_size': 7,
  'HDBSCAN_1_min_cluster_size': 1,
  'HDBSCAN_2_min_cluster_size': 14,
  'HDBSCAN_3_min_cluster_size': 24,
  'HDBSCAN_4_min_cluster_size': 1,
  'KMeans_0_n_clusters': 8,
  'KMeans_1_n_clusters': 26,
  'KMeans_2_n_clusters': 8,
  'KMeans_3_n_clusters': 30,
  'KMeans_4_n_clusters': 2,
  'MeanShift_0_bandwidth': 15.7001953755483,
  'MeanShift_1_bandwidth': 15.461319415684,
  'MeanShift_2_bandwidth': 0.1011433323821,
  'MeanShift_3_bandwidth': 30.7044418350439,
  'MeanShift_4_bandwidth': 49.9996327603488,
})",337.5035390853882
1,diamond9,naive_avg,SMAC BB,BINARY,-0.1169457491317572,"Configuration(values={
  'HDBSCAN_0': np.False_,
  'HDBSCAN_1': np.True_,
  'HDBSCAN_2': np.True_,
  'HDBSCAN_3': np.True_,
  'HDBSCAN_4': np.True_,
  'KMeans_0': np.False_,
  'KMeans_1': np.False_,
  'KMeans_2': np.True_,
  'KMeans_3': np.False_,
  'KMeans_4': np.True_,
  'MeanShift_0': np.False_,
  'MeanShift_1': np.False_,
  'MeanShift_2': np.False_,
  'MeanShift_3': np.False_,
  'MeanShift_4': np.True_,
  'HDBSCAN_1_min_cluster_size': 26,
  'HDBSCAN_2_min_cluster_size': 11,
  'HDBSCAN_3_min_cluster_size': 22,
  'HDBSCAN_4_min_cluster_size': 10,
  'KMeans_2_n_clusters': 2,
  'KMeans_4_n_clusters': 22,
  'MeanShift_4_bandwidth': 28.6495307153091,
})",271.3311297893524
2,diamond9,naive_avg,SMAC BB,ALG_NUMBER,0.0848263487287385,"Configuration(values={
  'HDBSCAN': 1,
  'KMeans': 1,
  'MeanShift': 0,
  'HDBSCAN_0_min_cluster_size': 24,
  'KMeans_0_n_clusters': 27,
})",224.237988948822
0,diamond9,naive_avg,SMAC AC,FIXED,-0.2617024449083833,"Configuration(values={
  'HDBSCAN_0_min_cluster_size': 10,
  'HDBSCAN_1_min_cluster_size': 1,
  'HDBSCAN_2_min_cluster_size': 12,
  'HDBSCAN_3_min_cluster_size': 1,
  'HDBSCAN_4_min_cluster_size': 25,
  'KMeans_0_n_clusters': 16,
  'KMeans_1_n_clusters': 13,
  'KMeans_2_n_clusters': 19,
  'KMeans_3_n_clusters': 18,
  'KMeans_4_n_clusters': 25,
  'MeanShift_0_bandwidth': 7.7956659498402,
  'MeanShift_1_bandwidth': 22.4941283353948,
  'MeanShift_2_bandwidth': 12.3700489046848,
  'MeanShift_3_bandwidth': 1.9458041772585,
  'MeanShift_4_bandwidth': 12.5313208204643,
})",219.87172937393188
1,diamond9,naive_avg,SMAC AC,BINARY,-0.1663531727697041,"Configuration(values={
  'HDBSCAN_0': np.True_,
  'HDBSCAN_1': np.False_,
  'HDBSCAN_2': np.True_,
  'HDBSCAN_3': np.True_,
  'HDBSCAN_4': np.False_,
  'KMeans_0': np.True_,
  'KMeans_1': np.False_,
  'KMeans_2': np.False_,
  'KMeans_3': np.True_,
  'KMeans_4': np.False_,
  'MeanShift_0': np.True_,
  'MeanShift_1': np.True_,
  'MeanShift_2': np.False_,
  'MeanShift_3': np.True_,
  'MeanShift_4': np.False_,
  'HDBSCAN_0_min_cluster_size': 27,
  'HDBSCAN_2_min_cluster_size': 12,
  'HDBSCAN_3_min_cluster_size': 1,
  'KMeans_0_n_clusters': 16,
  'KMeans_3_n_clusters': 25,
  'MeanShift_0_bandwidth': 2.9450853488689,
  'MeanShift_1_bandwidth': 26.7244964297284,
  'MeanShift_3_bandwidth': 31.3830873254315,
})",150.80397391319275
2,diamond9,naive_avg,SMAC AC,ALG_NUMBER,-0.1651841105432994,"Configuration(values={
  'HDBSCAN': 2,
  'KMeans': 2,
  'MeanShift': 1,
  'HDBSCAN_0_min_cluster_size': 21,
  'HDBSCAN_1_min_cluster_size': 19,
  'KMeans_0_n_clusters': 27,
  'KMeans_1_n_clusters': 6,
  'MeanShift_0_bandwidth': 44.6413899208129,
})",138.63712859153748
0,diamond9,naive_avg,BOHB,FIXED,-0.2445200859749562,"[('HDBSCAN', {'min_cluster_size': 12}), ('HDBSCAN', {'min_cluster_size': 6}), ('HDBSCAN', {'min_cluster_size': 15}), ('HDBSCAN', {'min_cluster_size': 10}), ('HDBSCAN', {'min_cluster_size': 10}), ('KMeans', {'n_clusters': 17}), ('KMeans', {'n_clusters': 13}), ('KMeans', {'n_clusters': 24}), ('KMeans', {'n_clusters': 19}), ('KMeans', {'n_clusters': 21}), ('MeanShift', {'bandwidth': 11.009760842952387}), ('MeanShift', {'bandwidth': 29.32281675592339}), ('MeanShift', {'bandwidth': 15.73909161885829}), ('MeanShift', {'bandwidth': 19.481651865591164}), ('MeanShift', {'bandwidth': 19.400399642141153})]",390.5016915798187
1,diamond9,naive_avg,BOHB,BINARY,-0.1221801686314229,"[('KMeans', {'n_clusters': 7}), ('MeanShift', {'bandwidth': 2.5589795898092227}), ('MeanShift', {'bandwidth': 37.33180393345021}), ('MeanShift', {'bandwidth': 5.029684544167561})]",207.11598873138428
2,diamond9,naive_avg,BOHB,ALG_NUMBER,0.0314999999999999,"[('HDBSCAN', {'min_cluster_size': 8}), ('HDBSCAN', {'min_cluster_size': 7}), ('KMeans', {'n_clusters': 14}), ('MeanShift', {'bandwidth': 7.567007517872053}), ('MeanShift', {'bandwidth': 5.408716354870889}), ('MeanShift', {'bandwidth': 11.289407158016985}), ('MeanShift', {'bandwidth': 11.944156803504185}), ('MeanShift', {'bandwidth': 30.029370377490903})]",351.73873019218445
0,diamond9,naive_avg,Optunity,FIXED,-0.2087931604612818,"[('HDBSCAN', {'min_cluster_size': 14.269311627843013}), ('HDBSCAN', {'min_cluster_size': 2.2435867657766497}), ('HDBSCAN', {'min_cluster_size': 22.06356267472202}), ('HDBSCAN', {'min_cluster_size': 29.96724040649869}), ('HDBSCAN', {'min_cluster_size': 29.39795703292767}), ('KMeans', {'n_clusters': 14.656209718728892}), ('KMeans', {'n_clusters': 11.210229531591576}), ('KMeans', {'n_clusters': 25.00362267760489}), ('KMeans', {'n_clusters': 27.099324159104118}), ('KMeans', {'n_clusters': 6.042917466105407}), ('MeanShift', {'bandwidth': 43.033296517267466}), ('MeanShift', {'bandwidth': 7.084324167861525}), ('MeanShift', {'bandwidth': 2.179899536326378}), ('MeanShift', {'bandwidth': 49.66306193344527}), ('MeanShift', {'bandwidth': 8.867615812481326})]",431.8380813598633
1,diamond9,naive_avg,Optunity,BINARY,0.136372163517519,"[('HDBSCAN', {'min_cluster_size': 15.195954059371369}), ('HDBSCAN', {'min_cluster_size': 2.5754038333539757}), ('HDBSCAN', {'min_cluster_size': 25.624631967987725}), ('MeanShift', {'bandwidth': 23.916529296874995})]",212.6411798000336
2,diamond9,naive_avg,Optunity,ALG_NUMBER,0.1297739207373828,"[('HDBSCAN', {'min_cluster_size': 15.486854591644102}), ('HDBSCAN', {'min_cluster_size': 1.1129789643949959}), ('HDBSCAN', {'min_cluster_size': 28.332232358195252}), ('HDBSCAN', {'min_cluster_size': 19.394970065051623}), ('KMeans', {'n_clusters': 29.096176969044738})]",132.6549210548401
0,zelnik6,naive_avg,SMAC HPO,FIXED,-0.129873839569356,"Configuration(values={
  'HDBSCAN_0_min_cluster_size': 27,
  'HDBSCAN_1_min_cluster_size': 2,
  'HDBSCAN_2_min_cluster_size': 20,
  'HDBSCAN_3_min_cluster_size': 5,
  'HDBSCAN_4_min_cluster_size': 28,
  'KMeans_0_n_clusters': 3,
  'KMeans_1_n_clusters': 30,
  'KMeans_2_n_clusters': 25,
  'KMeans_3_n_clusters': 2,
  'KMeans_4_n_clusters': 6,
  'MeanShift_0_bandwidth': 36.7326163098296,
  'MeanShift_1_bandwidth': 30.1049410739814,
  'MeanShift_2_bandwidth': 5.7523675995239,
  'MeanShift_3_bandwidth': 49.7305295591107,
  'MeanShift_4_bandwidth': 21.2374763014471,
})",117.32092452049255
