,Dataset,Interestingness,HPO,Method,Score,Hyperparams,Duration
1,D31,naive_avg,BOHB,BINARY,0.121747428625438,"[('HDBSCAN', {'min_cluster_size': 26}), ('KMeans', {'n_clusters': 29}), ('KMeans', {'n_clusters': 15}), ('MeanShift', {'bandwidth': 29.191609289444465}), ('MeanShift', {'bandwidth': 33.33351658709878}), ('MeanShift', {'bandwidth': 16.978654181039296}), ('MeanShift', {'bandwidth': 24.11830984405671})]",535.5760917663574
2,D31,naive_avg,BOHB,ALG_NUMBER,0.0872822042110658,"[('HDBSCAN', {'min_cluster_size': 4}), ('KMeans', {'n_clusters': 27}), ('MeanShift', {'bandwidth': 19.143800663013703}), ('MeanShift', {'bandwidth': 33.662868455981084}), ('MeanShift', {'bandwidth': 49.66103102202799}), ('MeanShift', {'bandwidth': 43.4302028557983}), ('MeanShift', {'bandwidth': 25.017605341328075})]",449.1584279537201
0,D31,naive_avg,Optunity,FIXED,-0.0136589540653839,"[('HDBSCAN', {'min_cluster_size': 11.37939453125}), ('HDBSCAN', {'min_cluster_size': 24.23681640625}), ('HDBSCAN', {'min_cluster_size': 26.30419921875}), ('HDBSCAN', {'min_cluster_size': 25.51123046875}), ('HDBSCAN', {'min_cluster_size': 1.77880859375}), ('KMeans', {'n_clusters': 8.521484375}), ('KMeans', {'n_clusters': 26.431640625}), ('KMeans', {'n_clusters': 26.240234375}), ('KMeans', {'n_clusters': 12.623046875}), ('KMeans', {'n_clusters': 29.412109375}), ('MeanShift', {'bandwidth': 6.9466308593749995}), ('MeanShift', {'bandwidth': 9.285693359375}), ('MeanShift', {'bandwidth': 29.460107421875}), ('MeanShift', {'bandwidth': 16.741455078125}), ('MeanShift', {'bandwidth': 0.12436523437500001})]",1143.250871181488
1,D31,naive_avg,Optunity,BINARY,0.1522693895026804,"[('HDBSCAN', {'min_cluster_size': 18.471945604124926}), ('HDBSCAN', {'min_cluster_size': 20.521388378711293}), ('HDBSCAN', {'min_cluster_size': 23.46162686237434}), ('HDBSCAN', {'min_cluster_size': 11.347675781249995}), ('HDBSCAN', {'min_cluster_size': 22.785396459424152}), ('KMeans', {'n_clusters': 22.743515625})]",442.2194466590881
2,D31,naive_avg,Optunity,ALG_NUMBER,0.1564039588373432,"[('HDBSCAN', {'min_cluster_size': 6.5959493952837}), ('HDBSCAN', {'min_cluster_size': 27.554135495169348}), ('HDBSCAN', {'min_cluster_size': 19.140248395554238}), ('HDBSCAN', {'min_cluster_size': 26.51877278557513}), ('KMeans', {'n_clusters': 29.96978982898711}), ('KMeans', {'n_clusters': 14.24424719161956})]",289.7433075904846
0,twomoon,naive_avg,SMAC HPO,FIXED,0.029354479847885,"Configuration(values={
  'HDBSCAN_0_min_cluster_size': 21,
  'HDBSCAN_1_min_cluster_size': 4,
  'HDBSCAN_2_min_cluster_size': 23,
  'HDBSCAN_3_min_cluster_size': 19,
  'HDBSCAN_4_min_cluster_size': 6,
  'KMeans_0_n_clusters': 13,
  'KMeans_1_n_clusters': 14,
  'KMeans_2_n_clusters': 17,
  'KMeans_3_n_clusters': 6,
  'KMeans_4_n_clusters': 26,
  'MeanShift_0_bandwidth': 49.8790313969628,
  'MeanShift_1_bandwidth': 1.5758417871781,
  'MeanShift_2_bandwidth': 3.8550243382534,
  'MeanShift_3_bandwidth': 0.3270707765813,
  'MeanShift_4_bandwidth': 47.9963348815218,
})",106.3572142124176
1,twomoon,naive_avg,SMAC HPO,BINARY,0.153162127568853,"Configuration(values={
  'HDBSCAN_0': np.True_,
  'HDBSCAN_1': np.True_,
  'HDBSCAN_2': np.True_,
  'HDBSCAN_3': np.False_,
  'HDBSCAN_4': np.True_,
  'KMeans_0': np.True_,
  'KMeans_1': np.True_,
  'KMeans_2': np.True_,
  'KMeans_3': np.False_,
  'KMeans_4': np.True_,
  'MeanShift_0': np.False_,
  'MeanShift_1': np.False_,
  'MeanShift_2': np.False_,
  'MeanShift_3': np.False_,
  'MeanShift_4': np.False_,
  'HDBSCAN_0_min_cluster_size': 29,
  'HDBSCAN_1_min_cluster_size': 17,
  'HDBSCAN_2_min_cluster_size': 16,
  'HDBSCAN_4_min_cluster_size': 16,
  'KMeans_0_n_clusters': 25,
  'KMeans_1_n_clusters': 10,
  'KMeans_2_n_clusters': 8,
  'KMeans_4_n_clusters': 18,
})",74.775643825531
2,twomoon,naive_avg,SMAC HPO,ALG_NUMBER,0.3156233663281849,"Configuration(values={
  'HDBSCAN': 2,
  'KMeans': 1,
  'MeanShift': 0,
  'HDBSCAN_0_min_cluster_size': 6,
  'HDBSCAN_1_min_cluster_size': 26,
  'KMeans_0_n_clusters': 24,
})",71.44093537330627
0,twomoon,naive_avg,SMAC BB,FIXED,-0.0142570580899183,"Configuration(values={
  'HDBSCAN_0_min_cluster_size': 22,
  'HDBSCAN_1_min_cluster_size': 8,
  'HDBSCAN_2_min_cluster_size': 14,
  'HDBSCAN_3_min_cluster_size': 24,
  'HDBSCAN_4_min_cluster_size': 12,
  'KMeans_0_n_clusters': 4,
  'KMeans_1_n_clusters': 23,
  'KMeans_2_n_clusters': 17,
  'KMeans_3_n_clusters': 6,
  'KMeans_4_n_clusters': 27,
  'MeanShift_0_bandwidth': 0.8238543464646,
  'MeanShift_1_bandwidth': 26.8362384160981,
  'MeanShift_2_bandwidth': 48.4524455832634,
  'MeanShift_3_bandwidth': 1.2992103570911,
  'MeanShift_4_bandwidth': 10.5364414221607,
})",184.32164025306705
1,twomoon,naive_avg,SMAC BB,BINARY,0.180112619372778,"Configuration(values={
  'HDBSCAN_0': np.True_,
  'HDBSCAN_1': np.False_,
  'HDBSCAN_2': np.False_,
  'HDBSCAN_3': np.True_,
  'HDBSCAN_4': np.False_,
  'KMeans_0': np.False_,
  'KMeans_1': np.False_,
  'KMeans_2': np.True_,
  'KMeans_3': np.True_,
  'KMeans_4': np.True_,
  'MeanShift_0': np.False_,
  'MeanShift_1': np.False_,
  'MeanShift_2': np.False_,
  'MeanShift_3': np.False_,
  'MeanShift_4': np.False_,
  'HDBSCAN_0_min_cluster_size': 7,
  'HDBSCAN_3_min_cluster_size': 2,
  'KMeans_2_n_clusters': 26,
  'KMeans_3_n_clusters': 8,
  'KMeans_4_n_clusters': 27,
})",139.36146521568298
2,twomoon,naive_avg,SMAC BB,ALG_NUMBER,0.2947805343839115,"Configuration(values={
  'HDBSCAN': 2,
  'KMeans': 2,
  'MeanShift': 0,
  'HDBSCAN_0_min_cluster_size': 1,
  'HDBSCAN_1_min_cluster_size': 28,
  'KMeans_0_n_clusters': 9,
  'KMeans_1_n_clusters': 28,
})",121.06752681732178
0,twomoon,naive_avg,SMAC AC,FIXED,-0.0493198911229361,"Configuration(values={
  'HDBSCAN_0_min_cluster_size': 15,
  'HDBSCAN_1_min_cluster_size': 13,
  'HDBSCAN_2_min_cluster_size': 27,
  'HDBSCAN_3_min_cluster_size': 1,
  'HDBSCAN_4_min_cluster_size': 13,
  'KMeans_0_n_clusters': 22,
  'KMeans_1_n_clusters': 23,
  'KMeans_2_n_clusters': 8,
  'KMeans_3_n_clusters': 11,
  'KMeans_4_n_clusters': 17,
  'MeanShift_0_bandwidth': 1.8173147215771,
  'MeanShift_1_bandwidth': 34.8661336837425,
  'MeanShift_2_bandwidth': 22.3432540350913,
  'MeanShift_3_bandwidth': 2.7846449719768,
  'MeanShift_4_bandwidth': 15.3668386474575,
})",97.94203114509584
1,twomoon,naive_avg,SMAC AC,BINARY,0.0953294551679288,"Configuration(values={
  'HDBSCAN_0': np.True_,
  'HDBSCAN_1': np.True_,
  'HDBSCAN_2': np.True_,
  'HDBSCAN_3': np.True_,
  'HDBSCAN_4': np.False_,
  'KMeans_0': np.True_,
  'KMeans_1': np.True_,
  'KMeans_2': np.True_,
  'KMeans_3': np.True_,
  'KMeans_4': np.True_,
  'MeanShift_0': np.False_,
  'MeanShift_1': np.False_,
  'MeanShift_2': np.False_,
  'MeanShift_3': np.False_,
  'MeanShift_4': np.False_,
  'HDBSCAN_0_min_cluster_size': 5,
  'HDBSCAN_1_min_cluster_size': 20,
  'HDBSCAN_2_min_cluster_size': 20,
  'HDBSCAN_3_min_cluster_size': 16,
  'KMeans_0_n_clusters': 7,
  'KMeans_1_n_clusters': 15,
  'KMeans_2_n_clusters': 24,
  'KMeans_3_n_clusters': 19,
  'KMeans_4_n_clusters': 24,
})",69.99089694023132
2,twomoon,naive_avg,SMAC AC,ALG_NUMBER,0.0994140542745015,"Configuration(values={
  'HDBSCAN': 3,
  'KMeans': 4,
  'MeanShift': 0,
  'HDBSCAN_0_min_cluster_size': 25,
  'HDBSCAN_1_min_cluster_size': 10,
  'HDBSCAN_2_min_cluster_size': 7,
  'KMeans_0_n_clusters': 14,
  'KMeans_1_n_clusters': 7,
  'KMeans_2_n_clusters': 30,
  'KMeans_3_n_clusters': 2,
})",71.9122531414032
0,twomoon,naive_avg,BOHB,FIXED,-0.0101879466984292,"[('HDBSCAN', {'min_cluster_size': 17}), ('HDBSCAN', {'min_cluster_size': 6}), ('HDBSCAN', {'min_cluster_size': 3}), ('HDBSCAN', {'min_cluster_size': 3}), ('HDBSCAN', {'min_cluster_size': 21}), ('KMeans', {'n_clusters': 2}), ('KMeans', {'n_clusters': 18}), ('KMeans', {'n_clusters': 3}), ('KMeans', {'n_clusters': 6}), ('KMeans', {'n_clusters': 11}), ('MeanShift', {'bandwidth': 43.793803823373615}), ('MeanShift', {'bandwidth': 18.551612499957194}), ('MeanShift', {'bandwidth': 4.77674943399743}), ('MeanShift', {'bandwidth': 35.57614500376562}), ('MeanShift', {'bandwidth': 49.96032518419596})]",90.76291871070862
